EOS space usage on 2018-07-19 10:21:45
    User      Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
lucieg                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
luiggi                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
luigi                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
lungu                  0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
luthra                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
lvalenci               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
lviliani               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
lxu                    0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
machesky               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
macneill               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
manunezo               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
marat                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
marotta                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
matze                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mazzacan               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mbaber1                0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
mbaird                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mbalcaza               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mbanders               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mbeydler               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mc24                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mchangol               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mcmiller               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mcosta                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mdorseth               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mdunser                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
meramos                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mercadan               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
merina                 0.00 B           0.00 B          4.29 TB          2.15 TB            2       500000    ok/ok
mfattoru               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mgastal                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mgouzevi               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mhabashy               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mharanko               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mikeh                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mkandes                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mkhurana               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mlazarov               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mliu                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mlong                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mma                    0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mmascher               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mmasciov               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mmeschin               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mmiller                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mmschiav               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
morelos                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mpatil                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mrstark                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mshi                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mskim                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mstoye                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mtader                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
mtariq                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
muell149               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
muriel                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mwadud                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
mxiao                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ndeelen                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ndev                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
neadam                 0.00 B           0.00 B         12.88 TB          6.44 TB            0       500000    ok/ok
nechafil               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
neha                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
neu                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
nglugla                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
nguyenh                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
nherbert               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
nhinton                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
niki                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
njh                    0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
njp                    0.00 B           0.00 B       1000.00 GB        500.00 GB            1       500000    ok/ok
njr54                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
nlenhert               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
nloukas                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
nmagini                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
nschonbe               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
nvallsve               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
odalager               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
odell                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
odysei                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
oleksiy                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
omanghel               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
oray                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ozdowski               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
palencia               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
pdas                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
peiffer                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
pelin                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
penning                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
perieanu               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
pflitsch               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
pfreeman               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
pharris                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
pjasal                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
pkumari                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
pmanzano               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
pollack                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
presutti               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
proulx                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
prozober               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
psilva78               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ptiwari                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
pzywicki               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
qlam                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
radek                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rahmat                 0.00 B           0.00 B         24.19 TB         12.09 TB            0       500000    ok/ok
rahoutz                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ranchen                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rbhaskar               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rceccare               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rcgray                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rchatter               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rdorst                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
reikdas                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
renatar                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
revering               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rglein                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rgonzale               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rheller                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ricardo                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
richt                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rjmhrj                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rkosciol               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rlawrenc               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rlc                    0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rnally                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
robutti                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rogan                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rohanb                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
root                   0.00 B           0.00 B           0.00 B           0.00 B           39            0    ignored/ignored
rorlando               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rosenfim               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rossato                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rosserst               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rpittman               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rpquinn                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rredjimi               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
rs623                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rumerio                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
runiyal                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ruphy                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rwojtyla               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
rxiao                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
safronov               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sagarwal               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
salvati                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
samr                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
santanas               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sartiran               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
savitsky               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sbansal                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sbhat                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sboutle                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
scano                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
schen                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
scherry                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
schmitz                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
schr476                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
schwarzt               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sekhri                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
selda                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sergo                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sertac                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sgee                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sghiasis               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sglaser                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
shamona                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
shiv                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
shruti                 0.00 B           0.00 B         11.00 TB          5.50 TB            0       500000    ok/ok
sicheng                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sidharth               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
silvia                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sjain                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sjenkins               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sjohnso                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sjv                    0.00 B           0.00 B          5.00 TB          2.50 TB            0       500000    ok/ok
skinnari               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
skumar                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
skwan                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
slaunwhj               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sleontsi               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
slezki                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sluo                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
smaludze               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
smassey                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
smittal                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
snowmass               0.00 B           0.00 B           1.00 B           0.00 B            0       500000    ok/ok
sorytaf                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sowjanya               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
spadhi                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
spokhrel               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
srimanob               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
srogers                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
srpandey               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
srudra                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ssehrish               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
sseifeln               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ssinjini               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
stoddarg               0.00 B           0.00 B          4.29 TB          2.15 TB            0            0    ok/ignored
strait                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
stringer               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
stuli                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
susyra1                0.00 B           0.00 B           1.00 B           0.00 B            0       500000    ok/ok
svenjas                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
sxie                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
syeager                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
szhu                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tatianam               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
tboccali               0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
tcostade               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tdiazmar               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
teren                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
tgonzale               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
thong                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tikalsky               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tiradani               0.00 B           0.00 B          4.29 TB          2.15 TB            1       500000    ok/ok
tisidori               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
titask                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tjkim                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
tlevshin               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tlmiller               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tmiao                  0.00 B           0.00 B         12.88 TB          6.44 TB            0       500000    ok/ok
tnebabu                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tnorbert               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
tpolka                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
trocino                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
trtomei                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
truggles               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tseva                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
tskirvin               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
tteng                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
twamorka               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
twhitehe               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
uhussain               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
ukaya                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
uriel                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ursl                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
vaikunth               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
valerieh               0.00 B           0.00 B         12.88 TB          6.44 TB            0       500000    ok/ok
vallarys               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
vdanilov               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
venkat12               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
vergili                0.00 B           0.00 B          8.59 TB          4.29 TB            0       500000    ok/ok
vfinotti               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
vgaul001               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
vimartin               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
vkuznet                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
vpacela                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
vtruong                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
wangdy                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
wangj                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
wart                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
wclarida               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
wdteo                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
weber                  0.00 B           0.00 B          4.00 TB          2.00 TB            0      5000000    ok/ok
webermat               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
wisecarv               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
wji321                 0.00 B           0.00 B          4.00 TB          2.00 TB            0      5000000    ok/ok
wmcbraye               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
wtabb2                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
wyao                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
xjanssen               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
xpanteli               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
xshi                   0.00 B           0.00 B          4.40 TB          2.20 TB            0       500000    ok/ok
xwen                   0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
xzuo                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yangf                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yanjuntu               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yanm                   0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yaoli                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
yasser1                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ycheng                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
ycohen                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
yezhenyu               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
yguo2                  0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
yhoffers               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
yhshin                 0.00 B           0.00 B          5.00 TB          2.50 TB            0       500000    ok/ok
yichen                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yjlei                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yk                     0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yongy                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yschung                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yuanchao               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
yxzhang                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
zambas52               0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
zcyang                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
zeckert                0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
zgecse                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
zhejia                 0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
zheng13                0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
zmeng                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
zrwan                  0.00 B           0.00 B          4.29 TB          2.15 TB            0       500000    ok/ok
zshelton               0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok
zzhang                 0.00 B           0.00 B          4.00 TB          2.00 TB            0       500000    ok/ok

     Group        Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
---------------- ---------------- ---------------- ---------------- ---------------- ------------ ------------    -----------------
snowmass                294.17 TB        281.35 TB        325.00 TB        162.50 TB       624350      1500000    warning/ok
lpcsusyhad              312.24 TB        156.12 TB        400.00 TB        200.00 TB      1519111      2000000    ok/ok
lnujj                   189.74 TB         99.46 TB        200.00 TB        100.00 TB       976203      1000000    warning/warning
lpcstop                  97.27 TB         96.34 TB        100.80 TB         50.40 TB        65281      1000000    warning/ok
l1upgrades              190.12 TB         95.06 TB        240.00 TB        120.00 TB       672714      1000000    ok/ok
lpchbb                  157.17 TB         79.86 TB        250.00 TB        125.00 TB      1061445      2000000    ok/ok
lpclljj                  74.98 TB         74.98 TB         75.00 TB         37.50 TB       756132      1000000    exceeded/ok
lpcmetx                  92.34 TB         46.17 TB        100.00 TB         50.00 TB       759432      1500000    warning/ok
lpcdm                    41.53 TB         40.15 TB        120.00 TB         60.00 TB       681155      5250000    ok/ok
lpcbacon                 72.96 TB         36.48 TB         80.00 TB         40.00 TB       810561      1000000    warning/ok
lpcmbja                  58.23 TB         35.73 TB         60.00 TB         30.00 TB       985122      2000000    warning/ok
lpcbphy                  61.62 TB         34.71 TB         60.00 TB         30.00 TB       368049      1000000    exceeded/ok
lpctthrun2               69.17 TB         34.58 TB         71.47 TB         35.73 TB       506353      1000000    warning/ok
lpcljm                   57.90 TB         31.89 TB         70.00 TB         35.00 TB       592177      1000000    ok/ok
lpchtop                  30.43 TB         30.36 TB         50.00 TB         25.00 TB        98262      1000000    ok/ok
lpcmj                    49.91 TB         25.02 TB         50.00 TB         25.00 TB       154763      1000000    exceeded/ok
lpcfpix                  45.27 TB         22.63 TB         50.00 TB         25.00 TB       291589      1000000    warning/ok
lpcgem                   40.94 TB         20.47 TB         66.00 TB         33.00 TB       666215      1000000    ok/ok
lpcpjm                   39.93 TB         19.96 TB         53.69 TB         26.84 TB        79095    100000000    ok/ok
lpcphys                  19.81 TB         19.81 TB         20.00 TB         10.00 TB       294397      1000000    exceeded/ok
lpctlbsm                 38.04 TB         19.02 TB         60.00 TB         30.00 TB       651601      1000000    ok/ok
ra2tau                   38.03 TB         19.01 TB         40.00 TB         20.00 TB        99367      1000000    warning/ok
lpczprimeljj             36.09 TB         18.05 TB         40.00 TB         20.00 TB       163350      1000000    warning/ok
lpcdve                   16.80 TB         16.80 TB         25.00 TB         12.50 TB        65513      1000000    ok/ok
lpcdarksusy              29.36 TB         14.68 TB         30.00 TB         15.00 TB        92004      1000000    warning/ok
lpcggntuples             28.98 TB         14.49 TB         30.00 TB         15.00 TB       183724      1000000    warning/ok
lpcsusyra1               28.67 TB         14.33 TB         60.00 TB         30.00 TB        52931      1000000    ok/ok
lpctop                   26.96 TB         13.48 TB         40.00 TB         20.00 TB        92112      1000000    ok/ok
lpcmuon                  24.85 TB         12.42 TB         30.00 TB         15.00 TB        65480      1000000    ok/ok
